real_x,real_y,real_z
0.536513,-0.017381,0.285224
0.536512,-0.0173664,0.285224
0.536512,-0.0173533,0.285227
0.53651,-0.0173392,0.285228
0.536512,-0.0173259,0.285231
0.53651,-0.0173047,0.285232
0.536509,-0.0172951,0.285234
0.536509,-0.0172815,0.285236
0.536506,-0.0172657,0.285235
0.536509,-0.0172534,0.285243
0.536508,-0.0172347,0.285242
0.536508,-0.0172201,0.285244
0.536505,-0.0172046,0.285244
0.536506,-0.0171897,0.285247
0.536506,-0.0171729,0.285248
0.536504,-0.0171593,0.28525
0.536505,-0.0171451,0.285253
0.536503,-0.0171281,0.285254
0.536503,-0.0171099,0.285256
0.536503,-0.017099,0.285258
0.536502,-0.0170814,0.285261
0.5365,-0.0170699,0.285264
0.5365,-0.0170489,0.285267
0.5365,-0.017027,0.285268
0.536499,-0.0170171,0.285268
0.5365,-0.0169979,0.285271
0.536498,-0.0169874,0.285273
0.536498,-0.0169709,0.285275
0.536498,-0.0169543,0.285278
0.536495,-0.0169331,0.285279
0.536495,-0.0169166,0.285282
0.536497,-0.0168989,0.285283
0.536494,-0.0168804,0.285284
0.536494,-0.0168631,0.285287
0.536492,-0.016852,0.285285
0.536493,-0.0168352,0.285291
0.536492,-0.0168139,0.285291
0.536491,-0.0167986,0.285293
0.536492,-0.016786,0.285297
0.536491,-0.0167656,0.285298
0.53649,-0.0167436,0.285299
0.536491,-0.0167277,0.285302
0.536491,-0.0167087,0.285302
0.53649,-0.0166896,0.285304
0.536492,-0.0166735,0.285309
0.536489,-0.0166528,0.285308
0.536489,-0.0166359,0.285311
0.53649,-0.0166162,0.285314
0.536489,-0.0165978,0.285316
0.536489,-0.0165787,0.285317
0.536488,-0.016556,0.285318
0.53649,-0.0165359,0.285326
0.53649,-0.0165123,0.285325
0.536489,-0.0165008,0.285325
0.536489,-0.0164816,0.285328
0.536489,-0.0164606,0.285332
0.536488,-0.0164433,0.285331
0.536491,-0.0164191,0.28534
0.536489,-0.0164049,0.285341
0.536489,-0.0163875,0.285343
0.536488,-0.0163633,0.285343
0.536489,-0.0163443,0.285348
0.536488,-0.0163268,0.285349
0.536489,-0.0163079,0.285353
0.536487,-0.01629,0.285355
0.536487,-0.0162653,0.285356
0.536486,-0.0162444,0.285362
0.536485,-0.016222,0.285363
0.536484,-0.0162066,0.285366
0.536484,-0.0161875,0.285367
0.536483,-0.0161671,0.285369
0.536482,-0.0161464,0.285372
0.536482,-0.0161282,0.285374
0.536481,-0.0161025,0.285376
0.536481,-0.016085,0.285379
0.53648,-0.016062,0.285382
0.53648,-0.0160387,0.285384
0.536478,-0.016017,0.285384
0.536479,-0.0159997,0.285388
0.536477,-0.0159737,0.285389
0.536477,-0.0159577,0.285393
0.536476,-0.0159304,0.285395
0.536478,-0.0159086,0.285401
0.536475,-0.0158872,0.285399
0.536475,-0.0158635,0.285403
0.536475,-0.0158402,0.285404
0.536475,-0.0158184,0.285407
0.536475,-0.0157948,0.285412
0.536475,-0.015772,0.285413
0.536475,-0.0157524,0.285417
0.536475,-0.0157257,0.28542
0.536475,-0.0157044,0.285422
0.536474,-0.0156798,0.285424
0.536474,-0.0156566,0.285424
0.536475,-0.0156276,0.285429
0.536472,-0.0156031,0.285431
0.536474,-0.0155828,0.285432
0.536474,-0.0155613,0.285439
0.536473,-0.0155359,0.285439
0.536473,-0.0155166,0.285442
0.536471,-0.0154889,0.285444
0.53647,-0.0154703,0.285446
0.536471,-0.0154458,0.285451
0.536472,-0.0154188,0.285454
0.53647,-0.0153896,0.285458
0.536471,-0.0153676,0.285461
0.53647,-0.0153451,0.285463
0.536471,-0.0153238,0.285468
0.53647,-0.0152974,0.285471
0.53647,-0.0152698,0.285472
0.536469,-0.0152478,0.285475
0.536469,-0.0152176,0.28548
0.536468,-0.0151928,0.285482
0.536467,-0.0151695,0.285483
0.536467,-0.0151468,0.285488
0.536465,-0.0151243,0.285487
0.536466,-0.0150912,0.285493
0.536465,-0.0150708,0.285496
0.536465,-0.0150435,0.285501
0.536464,-0.015011,0.285505
0.536463,-0.0149877,0.285504
0.536462,-0.0149635,0.28551
0.536462,-0.0149432,0.285513
0.536461,-0.0149181,0.285515
0.536461,-0.0148849,0.285519
0.536459,-0.0148581,0.285524
0.536458,-0.0148358,0.285524
0.536459,-0.0148056,0.285531
0.536456,-0.0147781,0.285529
0.536457,-0.0147564,0.285535
0.536456,-0.0147335,0.285537
0.536455,-0.0146995,0.285542
0.536453,-0.0146756,0.285544
0.536453,-0.0146433,0.28555
0.536453,-0.0146211,0.285553
0.536452,-0.0145957,0.285556
0.536451,-0.0145633,0.28556
0.536451,-0.0145356,0.285562
0.53645,-0.01451,0.285567
0.536449,-0.014491,0.285571
0.536449,-0.0144595,0.285577
0.536448,-0.0144276,0.28558
0.536445,-0.014402,0.285583
0.536445,-0.0143766,0.285585
0.536445,-0.0143472,0.285592
0.536443,-0.0143151,0.285597
0.536441,-0.0142885,0.285601
0.536441,-0.01426,0.285605
0.536438,-0.0142342,0.285603
0.536437,-0.0142036,0.285611
0.536436,-0.0141754,0.285614
0.536434,-0.0141501,0.285617
0.536433,-0.0141211,0.28562
0.536433,-0.0140955,0.285627
0.536432,-0.01406,0.285633
0.536429,-0.0140326,0.285635
0.536429,-0.0140057,0.285641
0.536428,-0.0139773,0.285646
0.536426,-0.0139506,0.285648
0.536424,-0.0139178,0.285654
0.536423,-0.0138924,0.28566
0.536423,-0.0138604,0.285666
0.53642,-0.0138318,0.285668
0.536417,-0.0137998,0.285672
0.536415,-0.0137691,0.285675
0.536414,-0.0137358,0.285679
0.536411,-0.0137098,0.285684
0.536409,-0.0136749,0.285689
0.536408,-0.0136465,0.285693
0.536408,-0.0136133,0.2857
0.536404,-0.0135833,0.285704
0.536401,-0.0135528,0.285707
0.5364,-0.0135221,0.285713
0.536399,-0.0134931,0.28572
0.536396,-0.0134577,0.285724
0.536392,-0.0134281,0.285727
0.53639,-0.0133933,0.285735
0.536388,-0.0133586,0.285741
0.536387,-0.0133308,0.285746
0.536385,-0.0133,0.285749
0.53638,-0.0132661,0.285755
0.536379,-0.0132325,0.285761
0.536375,-0.0132021,0.285769
0.536373,-0.0131708,0.285772
0.536371,-0.0131376,0.28578
0.536368,-0.013104,0.285786
0.536364,-0.0130701,0.285791
0.536362,-0.0130417,0.285795
0.53636,-0.0130099,0.285803
0.536357,-0.0129772,0.285808
0.536352,-0.0129415,0.285815
0.53635,-0.0129115,0.285818
0.536346,-0.0128753,0.285824
0.536341,-0.0128389,0.285828
0.53634,-0.0128063,0.285838
0.536335,-0.0127744,0.285843
0.536332,-0.0127421,0.28585
0.53633,-0.012708,0.285859
0.536326,-0.0126743,0.285864
0.536322,-0.0126455,0.285868
0.53632,-0.0126089,0.285878
0.536316,-0.0125753,0.285882
0.536313,-0.0125401,0.285893
0.53631,-0.0125048,0.285899
0.536306,-0.0124716,0.285906
0.536301,-0.0124366,0.285909
0.536297,-0.0124036,0.285917
0.536295,-0.0123735,0.285921
0.53629,-0.0123363,0.285929
0.536287,-0.012306,0.285935
0.536282,-0.0122686,0.285942
0.536279,-0.0122314,0.285948
0.536276,-0.012196,0.285957
0.536273,-0.012163,0.285964
0.536268,-0.0121221,0.28597
0.536264,-0.0120921,0.285975
0.536262,-0.0120553,0.285984
0.536256,-0.0120196,0.28599
0.536253,-0.0119887,0.286
0.536248,-0.0119509,0.286007
0.536245,-0.0119154,0.286013
0.53624,-0.0118764,0.28602
0.536237,-0.0118448,0.286028
0.536234,-0.0118129,0.286035
0.536229,-0.0117807,0.286041
0.536225,-0.0117423,0.286049
0.536221,-0.0117086,0.286057
0.536216,-0.0116725,0.286065
0.536212,-0.0116357,0.286075
0.536206,-0.0115992,0.286082
0.536202,-0.0115609,0.28609
0.536196,-0.0115249,0.2861
0.536191,-0.0114896,0.286108
0.536186,-0.0114514,0.286116
0.536181,-0.0114156,0.286126
0.536176,-0.0113788,0.286136
0.53617,-0.0113363,0.286146
0.536163,-0.0113053,0.28615
0.536158,-0.0112652,0.28616
0.536153,-0.0112294,0.286171
0.536147,-0.0111899,0.28618
0.536141,-0.0111517,0.286188
0.536134,-0.0111129,0.286198
0.536128,-0.0110737,0.286206
0.536123,-0.0110397,0.286217
0.536116,-0.0109969,0.286226
0.536108,-0.0109544,0.286233
0.536102,-0.0109101,0.286246
0.536097,-0.0108765,0.286256
0.536089,-0.0108308,0.286265
0.536084,-0.010794,0.286273
0.536074,-0.0107526,0.286283
0.53607,-0.0107113,0.286295
0.536065,-0.0106728,0.286305
0.536057,-0.0106345,0.286312
0.536048,-0.0105884,0.286322
0.536042,-0.0105514,0.286331
0.536033,-0.0105098,0.286343
0.536028,-0.0104675,0.286354
0.536019,-0.010431,0.286364
0.536012,-0.0103838,0.286373
0.536006,-0.0103489,0.286379
0.535998,-0.0103007,0.286392
0.535991,-0.0102656,0.286401
0.535983,-0.0102203,0.286413
0.535976,-0.0101745,0.286422
0.535969,-0.0101384,0.28643
0.535962,-0.0101002,0.286442
0.535954,-0.0100484,0.286455
0.535944,-0.0100082,0.286465
0.535937,-0.00996917,0.286475
0.535928,-0.00992757,0.286484
0.53592,-0.00988681,0.286496
0.535911,-0.00984616,0.286506
0.535901,-0.0097971,0.286518
0.535892,-0.00975749,0.286528
0.535884,-0.00971258,0.286542
0.535875,-0.00966742,0.286554
0.535866,-0.0096254,0.286563
0.535857,-0.00958287,0.286573
0.535847,-0.0095386,0.286584
0.535838,-0.00949423,0.286598
0.535827,-0.00944637,0.286611
0.535818,-0.00939646,0.286624
